ID           Arch  What
C04RMARH8LB  arch  #team-platform (archived)
C04RSEUBMRP  -     #general
C04RTAHCZAP  arch  #team-data (archived)
C04RTANER5Z  arch  🔒 people-archived (archived)
C04RU4QSNGJ  -     🔒 ecosystem-leadership
C04RXGP9BMK  arch  #m0-setup (archived)
C04S63ERTED  arch  #it_squad_asset (archived)
C04SC482V44  arch  #it_data_streaming (archived)
C04SG2BG2JD  arch  🔒 leadership-committee-drop-topics (archived)
C04SLPEQAG5  arch  #team-devops (archived)
C04SNCBM6KB  arch  🔒 m0_foundation_operations_old (archived)
C04SW6KTRBR  -     #team-backend
C04SY79TC7R  -     #it-qa-acceptance-tests
C04T2656LRF  arch  #team_product (archived)
C04TM71SQN6  -     #helpdesk
C04TV03T0MS  arch  #design (archived)
C04TX4MAH0A  arch  #questions-drop (archived)
C04U1UX45EE  arch  #it_data_validation (archived)
C04U2AN14DC  arch  #it_data_notifications (archived)
C04U94JAWE5  -     #status-gitlab
C04UPES8SJK  arch  #platform_release (archived)
C0501017LRY  -     #engineering
C051PGD6J2J  -     #random
C052JK1BARF  -     #media
C052UE102SF  arch  #remote_work_office (archived)
C052UUH6QNB  arch  #m0ckchain (archived)
C052UVDB7FA  -     #notifications-pull-requests
C0537TZA789  arch  #it_klarna_bank_access (archived)
C054EEQ9HQX  arch  #team_frontend-web2 (archived)
C0599MGSZ5F  arch  🔒 legal-matters (archived)
C059S0Q20VA  -     #office-berlin
C05ANCH54Q1  arch  #kicker-friends (archived)
C05ASSCGPAA  arch  🔒 presence-week (archived)
C05AZ8DE2AX  -     Group: @oliver @katja.freier @vitalii.ivantsov @andrew.khang
C05B455UALR  arch  #web3-random (archived)
C05BT0BFB1Q  arch  🔒 all-hands (archived)
C05C5BG7ZRU  -     Group: @andrew.khang @oliver @katja.freier @christopher.smalley
C05CWB05P5G  arch  #kicker-tournament-june-2023 (archived)
C05D1QH8H08  -     Group: @andrew.khang @antonina.norair @oliver @katja.freier
C05D1QJQGNL  -     Group: @andrew.khang @antonina.norair @oliver @katja.freier @christopher.smalley
C05E5LXF46R  -     #gardening-greenjuice-bees
C05E85RGCH5  arch  #it_write2eth (archived)
C05E8PZDCRJ  arch  #it_bank_accounts (archived)
C05EX7MBZT5  -     Group: @thor.mathison @andrew.khang @luca
C05F0V6KXR8  -     Group: @rafael.weninger @andrew.khang @marco.hinz @stefan.kleff
C05FD56958F  -     Group: @antonina.norair @andrew.khang @greg
C05FXJ1C4CV  -     Group: @andrew.khang @antonina.norair @thor.mathison @christopher.smalley
C05FXJ23GJH  -     Group: @andrew.khang @antonina.norair @thor.mathison @christopher.smalley @ian.patton
C05G0PGHLUQ  -     Group: @oliver @luca @greg @marco.hinz @andrew.khang @thor.mathison
C05GCJASJ4T  arch  🔒 pps-mgmt (archived)
C05GMEC5DT9  -     Group: @vitalii.ivantsov @antje.bechler @andrew.khang
C05GZCC5955  -     Group: @greg @thor.mathison @andrew.khang @marco.hinz @antonina.norair @oliver
C05GZL5A9SL  -     Group: @vitalii.ivantsov @luca @thor.mathison @andrew.khang
C05H2QDV329  -     Group: @thor.mathison @luca @greg @oliver @andrew.khang
C05H4PD94BZ  -     Group: @thor.mathison @joao.reginatto @oliver @andrew.khang
C05H6DB44C8  -     Group: @vitalii.ivantsov @thor.mathison @jochen.weiss @luca @andrew.khang @roman.steigertahl
C05H78SLRSA  -     Group: @greg @thor.mathison @andrew.khang @marco.hinz @antonina.norair @oliver @luca
C05HB0XKAAH  -     Group: @greg @thor.mathison @andrew.khang @marco.hinz @antonina.norair
C05HDCE3ELA  -     Group: @antonina.norair @antonello.simeon @andrew.khang
C05J0C4SLCX  arch  #wearedevelopers (archived)
C05JC6JCB1N  arch  🔒 vision (archived)
C05JFQABXGS  -     Group: @antonina.norair @andrew.khang @stefan.kleff @antonello.simeon
C05JMMML6K1  -     Group: @claudine.oldengott @andrew.khang @antonina.norair @greg
C05K5FKJ16C  -     Group: @antonina.norair @andrew.khang @stefan.kleff
C05KCC85R5M  arch  #web3-links-and-tools (archived)
C05KLVB24JE  -     Group: @antonina.norair @caleb.ditchfield @andrew.khang
C05KNGR9JQ5  -     Group: @andrew.khang @antje.bechler @vitalii.ivantsov @greg
C05KRUTJU48  -     Group: @claudine.oldengott @andrew.khang @antonina.norair
C05KY32H0TT  -     Group: @andrew.khang @jochen.weiss @thor.mathison
C05L99GQ0UD  -     Group: @rafael.weninger @antonina.norair @andrew.khang
C05LD31K4KE  arch  #rpcproxy (archived)
C05LG7XK8N5  arch  #it_legacy_data_notifications (archived)
C05LMJ3HCC8  -     Group: @andrew.khang @antje.bechler @joao.reginatto
C05M8RGAZAB  arch  🔒 esop (archived)
C05M9SLKF4H  arch  #web3-meeting-notes (archived)
